,Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,english,searched,tconst,Simple_Title,net_year,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
1555,3 Ninjas: Kick Back,No,,"2,800,000",1:33,"1,800,000",3 Ninjas: Kick Back,3 Ninjas: Kick Back,tt0109015,3 Ninjas: Kick Back,1000.0,movie,3 Ninjas Kick Back,3 Ninjas Kick Back,1994,93,"Action,Comedy,Family"
1556,Final Destination 3,No,,"2,800,000",1:33,"1,800,000",Final Destination 3,Final Destination 3,tt0414982,Final Destination 3,1000.0,movie,Final Destination 3,Final Destination 3,2006,93,"Horror,Thriller"
1557,Hot Frosty,Yes,2024-11-13,"2,800,000",1:32,"1,800,000",Hot Frosty,Hot Frosty,tt32359447,Hot Frosty,2024.0,movie,Hot Frosty,Hot Frosty,2024,92,"Comedy,Fantasy,Romance"
1558,Jigsaw (2017),No,,"2,800,000",1:32,"1,800,000",Jigsaw (2017),Jigsaw,tt3348730,Jigsaw,2017.0,movie,Jigsaw,Jigsaw,2017,92,"Horror,Mystery,Thriller"
1559,Petak Umpet,No,,"2,800,000",1:32,"1,800,000",Petak Umpet,Petak Umpet,tt33355143,Petak Umpet,1000.0,movie,Hide and Seek,Petak Umpet,2024,84,Horror
1560,Riverdance: The Animated Adventure,No,2022-01-14,"2,800,000",1:34,"1,800,000",Riverdance: The Animated Adventure,Riverdance: The Animated Adventure,tt10841088,Riverdance: The Animated Adventure,2022.0,movie,Riverdance: The Animated Adventure,Riverdance: The Animated Adventure,2021,90,"Adventure,Animation,Comedy"
1561,Wrong Place,No,,"2,800,000",1:36,"1,800,000",Wrong Place,Wrong Place,tt15837458,Wrong Place,1000.0,movie,Wrong Place,Wrong Place,2022,96,"Action,Crime,Thriller"
1562,You Will Die In 6 Hours // 6시간 후 너는 죽는다,No,,"2,800,000",1:31,"1,800,000",You Will Die In 6 Hours ,You Will Die In 6 Hours,tt33478321,You Will Die In 6 Hours,1000.0,movie,You Will Die in 6 Hours,You Will Die in 6 Hours,2024,91,"Mystery,Thriller"
1563,A Royal Date for Christmas,No,,"2,700,000",1:28,"1,800,000",A Royal Date for Christmas,A Royal Date for Christmas,tt28188089,A Royal Date for Christmas,1000.0,tvMovie,A Royal Date for Christmas,A Royal Date for Christmas,2023,90,"Comedy,Romance"
1564,A Thousand Words,No,,"2,700,000",1:32,"1,800,000",A Thousand Words,A Thousand Words,tt0763831,A Thousand Words,1000.0,movie,A Thousand Words,A Thousand Words,2012,91,"Comedy,Drama,Fantasy"
1565,Crossroads (2002),Yes,,"2,700,000",1:29,"1,800,000",Crossroads (2002),Crossroads,tt0275022,Crossroads,2002.0,movie,Crossroads,Crossroads,2002,93,"Comedy,Drama,Romance"
1566,Return of the King: The Fall and Rise of Elvis Presley,Yes,2024-11-13,"2,700,000",1:31,"1,800,000",Return of the King: The Fall and Rise of Elvis Presley,Return of the King: The Fall and Rise of Elvis Presley,tt34139335,Return of the King: The Fall and Rise of Elvis Presley,2024.0,movie,Return of the King: The Fall and Rise of Elvis Presley,Return of the King: The Fall and Rise of Elvis Presley,2024,90,"Documentary,Music"
1567,Carriers,No,,"2,600,000",1:25,"1,800,000",Carriers,Carriers,tt0806203,Carriers,1000.0,movie,Carriers,Carriers,2009,84,"Adventure,Drama,Horror"
1568,How to Rob a Bank,Yes,2024-06-05,"2,600,000",1:28,"1,800,000",How to Rob a Bank,How to Rob a Bank,tt32308418,How to Rob a Bank,2024.0,movie,How to Rob a Bank,How to Rob a Bank,2024,88,"Action,Crime,Documentary"
1569,The House (2017),No,,"2,600,000",1:28,"1,800,000",The House (2017),The House,tt4481514,The House,2017.0,movie,The House,The House,2017,88,"Comedy,Crime"
1570,Reality (2023),No,,"2,500,000",1:22,"1,800,000",Reality (2023),Reality,tt24068064,Reality,2023.0,movie,Reality,Reality,2023,83,Drama
1571,Malibu Rescue,Yes,2019-05-13,"2,100,000",1:10,"1,800,000",Malibu Rescue,Malibu Rescue,tt9228950,Malibu Rescue,2019.0,movie,Malibu Rescue,Malibu Rescue,2019,68,"Action,Comedy,Family"
1572,Mighty Morphin Power Rangers: Once & Always,No,2023-04-19,"1,700,000",0:58,"1,800,000",Mighty Morphin Power Rangers: Once & Always,Mighty Morphin Power Rangers: Once & Always,tt23219684,Mighty Morphin Power Rangers: Once & Always,2023.0,movie,Mighty Morphin Power Rangers: Once & Always,Mighty Morphin Power Rangers: Once & Always,2023,55,"Action,Adventure,Drama"
1573,Closing Dynasty,Yes,,"500,000",0:17,"1,800,000",Closing Dynasty,Closing Dynasty,tt21076576,Closing Dynasty,1000.0,short,Closing Dynasty,Closing Dynasty,2023,17,Short
1574,If Anything Happens I Love You,Yes,2020-11-20,"400,000",0:13,"1,800,000",If Anything Happens I Love You,If Anything Happens I Love You,tt11768948,If Anything Happens I Love You,2020.0,short,If Anything Happens I Love You,If Anything Happens I Love You,2020,13,"Animation,Drama,Short"
1575,Salaar,Yes,,"4,800,000",2:54,"1,700,000",Salaar,Salaar,tt13927994,Salaar,1000.0,movie,Salaar,Salaar: Part 1 - Ceasefire,2023,175,"Action,Crime,Drama"
1576,Yeh Jawaani Hai Deewani // ये जवानी है दीवानी,No,,"4,600,000",2:40,"1,700,000",Yeh Jawaani Hai Deewani ,Yeh Jawaani Hai Deewani,tt2178470,Yeh Jawaani Hai Deewani,1000.0,movie,Yeh Jawaani Hai Deewani,Yeh Jawaani Hai Deewani,2013,160,"Comedy,Drama,Musical"
1577,The Place Beyond the Pines,No,,"3,900,000",2:20,"1,700,000",The Place Beyond the Pines,The Place Beyond the Pines,tt1817273,The Place Beyond the Pines,1000.0,movie,The Place Beyond the Pines,The Place Beyond the Pines,2012,140,"Crime,Drama,Thriller"
1578,Wonder Woman (2017),No,,"3,900,000",2:21,"1,700,000",Wonder Woman (2017),Wonder Woman,tt0451279,Wonder Woman,2017.0,movie,Wonder Woman,Wonder Woman,2017,141,"Action,Adventure,Fantasy"
1579,A Journal for Jordan,No,,"3,800,000",2:11,"1,700,000",A Journal for Jordan,A Journal for Jordan,tt0995854,A Journal for Jordan,1000.0,movie,A Journal for Jordan,A Journal for Jordan,2021,131,"Drama,Romance,War"
1580,Ambulance (2022),No,,"3,800,000",2:16,"1,700,000",Ambulance (2022),Ambulance,tt4998632,Ambulance,2022.0,movie,Ambulance,Ambulance,2022,136,"Action,Crime,Drama"
1581,Princess Mononoke // もののけ姫,No,,"3,700,000",2:14,"1,700,000",Princess Mononoke ,Princess Mononoke,tt0119698,Princess Mononoke,1000.0,movie,Princess Mononoke,Mononoke-hime,1997,133,"Adventure,Animation,Fantasy"
1582,Seven (1995),No,,"3,700,000",2:07,"1,700,000",Seven (1995),Seven,tt0114369,Seven,1995.0,movie,Se7en,Se7en,1995.0,127.0,"Crime,Drama,Mystery"
1583,Indiana Jones and the Last Crusade,No,,"3,600,000",2:08,"1,700,000",Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,tt0097576,Indiana Jones and the Last Crusade,1000.0,movie,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,1989,127,"Action,Adventure"
1584,The Notebook (2004),No,,"3,600,000",2:04,"1,700,000",The Notebook (2004),The Notebook,tt0332280,The Notebook,2004.0,movie,The Notebook,The Notebook,2004,123,"Drama,Romance"
1585,Hotel Mumbai,No,,"3,500,000",2:03,"1,700,000",Hotel Mumbai,Hotel Mumbai,tt5461944,Hotel Mumbai,1000.0,movie,Hotel Mumbai,Hotel Mumbai,2018,123,"Action,Drama,History"
1586,What Happened to Monday,No,2017-08-18,"3,500,000",2:04,"1,700,000",What Happened to Monday,What Happened to Monday,tt1536537,What Happened to Monday,2017.0,movie,What Happened to Monday,What Happened to Monday,2017,123,"Action,Crime,Fantasy"
1587,Indiana Jones and the Raiders of the Lost Ark,No,,"3,300,000",1:56,"1,700,000",Indiana Jones and the Raiders of the Lost Ark,Indiana Jones and the Raiders of the Lost Ark,tt0082971,Indiana Jones and the Raiders of the Lost Ark,1000.0,movie,Raiders of the Lost Ark,Raiders of the Lost Ark,1981.0,115.0,"Action,Adventure"
1588,Bionic // Biônicos,Yes,2024-05-29,"3,200,000",1:51,"1,700,000",Bionic ,Bionic,tt16427902,Bionic,2024.0,movie,Bionic,Biônicos,2024,110,"Action,Adventure,Sci-Fi"
1589,Identity Thief,No,,"3,200,000",1:51,"1,700,000",Identity Thief,Identity Thief,tt2024432,Identity Thief,1000.0,movie,Identity Thief,Identity Thief,2013,111,"Comedy,Crime,Drama"
1590,Tyler Perry's The Single Moms Club,No,,"3,200,000",1:51,"1,700,000",Tyler Perry's The Single Moms Club,Tyler Perry's The Single Moms Club,tt2465140,Tyler Perry's The Single Moms Club,1000.0,movie,The Single Moms Club,The Single Moms Club,2014,111,"Comedy,Drama"
1591,"Are You There God? It's Me, Margaret",No,,"3,100,000",1:47,"1,700,000","Are You There God? It's Me, Margaret","Are You There God? It's Me, Margaret",tt9185206,"Are You There God? It's Me, Margaret",1000.0,movie,"Are You There God? It's Me, Margaret.","Are You There God? It's Me, Margaret.",2023,106,"Comedy,Drama,Family"
1592,Case 39,No,,"3,100,000",1:51,"1,700,000",Case 39,Case 39,tt0795351,Case 39,1000.0,movie,Case 39,Case 39,2009,109,"Horror,Mystery,Thriller"
1593,Everything About My Wife,No,,"3,100,000",1:50,"1,700,000",Everything About My Wife,Everything About My Wife,tt35587095,Everything About My Wife,1000.0,movie,Everything About My Wife,Everything About My Wife,2025,110,"Comedy,Romance"
1594,Fall (2022),No,,"3,100,000",1:47,"1,700,000",Fall (2022),Fall,tt15325794,Fall,2022.0,movie,Fall,Fall,2022,107,"Action,Thriller"
1595,Inheritance (2020),No,,"3,100,000",1:51,"1,700,000",Inheritance (2020),Inheritance,tt32245043,Inheritance,2024.0,movie,Inheritance,Spadek,2024,94,"Comedy,Drama,Mystery"
1596,Inheritance (2020),No,,"3,100,000",1:51,"1,700,000",Inheritance (2020),Inheritance,tt30494979,Inheritance,2020.0,movie,Inheritance,Inheritance,2024,85,Documentary
1597,Once Upon a Crime // 赤ずきん、旅の途中で死体と出会う,Yes,2023-09-14,"3,100,000",1:47,"1,700,000",Once Upon a Crime ,Once Upon a Crime,tt15944018,Once Upon a Crime,2023.0,movie,Once Upon a Crime,"Akazukin, tabi no tochû de shitai to deau.",2023,107,"Adventure,Comedy,Crime"
1598,Resident Evil: The Final Chapter,No,,"3,100,000",1:47,"1,700,000",Resident Evil: The Final Chapter,Resident Evil: The Final Chapter,tt2592614,Resident Evil: The Final Chapter,1000.0,movie,Resident Evil: The Final Chapter,Resident Evil: The Final Chapter,2016,107,"Action,Horror,Sci-Fi"
1599,Scream (1996),No,,"3,100,000",1:51,"1,700,000",Scream (1996),Scream,tt11245972,Scream,2022.0,movie,Scream,Scream,2022,114,"Horror,Mystery,Thriller"
1600,Scream (1996),No,,"3,100,000",1:51,"1,700,000",Scream (1996),Scream,tt0117571,Scream,1996.0,movie,Scream,Scream,1996,111,"Horror,Mystery"
1601,Disturbia,No,,"3,000,000",1:45,"1,700,000",Disturbia,Disturbia,tt0486822,Disturbia,1000.0,movie,Disturbia,Disturbia,2007,105,"Crime,Drama,Mystery"
1602,Eternal Sunshine of the Spotless Mind,No,,"3,000,000",1:48,"1,700,000",Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,tt0338013,Eternal Sunshine of the Spotless Mind,1000.0,movie,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,2004,108,"Drama,Romance,Sci-Fi"
1603,November // Novembre,No,,"3,000,000",1:47,"1,700,000",November ,November,tt14542254,November,1000.0,movie,November,Novembre,2022,106,"Crime,Drama,Thriller"
1604,One More Shot (2024),No,,"3,000,000",1:43,"1,700,000",One More Shot (2024),One More Shot,tt27110516,One More Shot,2024.0,movie,One More Shot,One More Shot,2024,103,"Action,Thriller"
1605,Veronica // Verónica,No,,"3,000,000",1:45,"1,700,000",Veronica ,Veronica,tt5862312,Veronica,1000.0,movie,Veronica,Verónica,2017,105,"Horror,Mystery"
1606,Bolehkah Sekali Saja Kumenangis,Yes,,"2,900,000",1:41,"1,700,000",Bolehkah Sekali Saja Kumenangis,Bolehkah Sekali Saja Kumenangis,tt30833434,Bolehkah Sekali Saja Kumenangis,1000.0,movie,Bolehkah Sekali Saja Kumenangis,Bolehkah Sekali Saja Kumenangis,2024,101,Drama
1607,Doing Hard Time,No,,"2,900,000",1:41,"1,700,000",Doing Hard Time,Doing Hard Time,tt0427166,Doing Hard Time,1000.0,video,Doing Hard Time,Doing Hard Time,2004,95,"Action,Drama"
1608,Soulcatcher // Operacja: Soulcatcher,Yes,2023-08-02,"2,900,000",1:40,"1,700,000",Soulcatcher ,Soulcatcher,tt28290233,Soulcatcher,2023.0,movie,Soulcatcher,Soulcatcher,2023,98,"Action,Adventure,Thriller"
1609,Summer Vacation // Vacaciones de verano,Yes,,"2,900,000",1:40,"1,700,000",Summer Vacation ,Summer Vacation,tt26756609,Summer Vacation,1000.0,movie,Vacaciones de verano,Vacaciones de verano,2023.0,100.0,"Comedy,Family"
1610,The Retirement Plan,No,,"2,900,000",1:43,"1,700,000",The Retirement Plan,The Retirement Plan,tt14827638,The Retirement Plan,1000.0,movie,The Retirement Plan,The Retirement Plan,2023,103,"Action,Comedy,Crime"
1611,Wine Country,Yes,2019-05-10,"2,900,000",1:44,"1,700,000",Wine Country,Wine Country,tt8169446,Wine Country,2019.0,movie,Wine Country,Wine Country,2019,103,"Adventure,Comedy,Drama"
1612,Hutang Nyawa,No,,"2,800,000",1:40,"1,700,000",Hutang Nyawa,Hutang Nyawa,tt34424283,Hutang Nyawa,1000.0,movie,Blood Debt,Hutang Nyawa,2024,100,Horror
1613,Mafia Mamma,No,,"2,800,000",1:41,"1,700,000",Mafia Mamma,Mafia Mamma,tt13923456,Mafia Mamma,1000.0,movie,Mafia Mamma,Mafia Mamma,2023,101,"Action,Comedy,Crime"
1614,Old Henry,No,,"2,800,000",1:39,"1,700,000",Old Henry,Old Henry,tt12731980,Old Henry,1000.0,movie,Old Henry,Old Henry,2021,99,"Action,Drama,Western"
1615,Sniper (1993),No,,"2,800,000",1:39,"1,700,000",Sniper (1993),Sniper,tt0108171,Sniper,1993.0,movie,Sniper,Sniper,1993,98,"Action,Thriller,War"
1616,Walk. Ride. Rodeo.,Yes,2019-03-08,"2,800,000",1:40,"1,700,000",Walk. Ride. Rodeo.,Walk. Ride. Rodeo.,tt5848416,Walk. Ride. Rodeo.,2019.0,movie,Walk. Ride. Rodeo.,Walk. Ride. Rodeo.,2019,100,"Biography,Drama,Sport"
1617,Without a Paddle,No,,"2,800,000",1:39,"1,700,000",Without a Paddle,Without a Paddle,tt0364751,Without a Paddle,1000.0,movie,Without a Paddle,Without a Paddle,2004,95,"Adventure,Comedy,Mystery"
1618,Accident Man: Hitman's Holiday,No,,"2,700,000",1:37,"1,700,000",Accident Man: Hitman's Holiday,Accident Man: Hitman's Holiday,tt9669176,Accident Man: Hitman's Holiday,1000.0,movie,Accident Man: Hitman's Holiday,Accident Man: Hitman's Holiday,2022,96,"Action,Comedy,Crime"
1619,Airplane Mode // Modo Avião,Yes,2020-01-22,"2,700,000",1:37,"1,700,000",Airplane Mode ,Airplane Mode,tt10731748,Airplane Mode,2020.0,movie,Airplane Mode,Modo Avião,2020,96,"Comedy,Drama,Family"
1620,The Breakfast Club (1985),No,,"2,700,000",1:37,"1,700,000",The Breakfast Club (1985),The Breakfast Club,tt0088847,The Breakfast Club,1985.0,movie,The Breakfast Club,The Breakfast Club,1985,97,"Comedy,Drama"
1621,The Paramedic // El practicante,Yes,2020-09-16,"2,700,000",1:34,"1,700,000",The Paramedic ,The Paramedic,tt11127690,The Paramedic,2020.0,movie,The Paramedic,El practicante,2020,94,"Crime,Drama,Thriller"
1622,The Princess Switch: Switched Again,Yes,2020-11-19,"2,700,000",1:37,"1,700,000",The Princess Switch: Switched Again,The Princess Switch: Switched Again,tt11199410,The Princess Switch: Switched Again,2020.0,movie,The Princess Switch: Switched Again,The Princess Switch: Switched Again,2020,96,"Comedy,Drama,Family"
1623,Tonight You're Sleeping with Me // Dzisiaj śpisz ze mną,Yes,2023-03-01,"2,700,000",1:33,"1,700,000",Tonight You're Sleeping with Me ,Tonight You're Sleeping with Me,tt26548664,Tonight You're Sleeping with Me,2023.0,movie,Tonight You're Sleeping with Me,Dzisiaj spisz ze mna,2023,92,"Drama,Romance"
1624,Um Tio Quase Perfeito,No,,"2,700,000",1:36,"1,700,000",Um Tio Quase Perfeito,Um Tio Quase Perfeito,tt6853930,Um Tio Quase Perfeito,1000.0,movie,Um Tio Quase Perfeito,Um Tio Quase Perfeito,2017,96,"Comedy,Family"
1625,Umjolo: The Gone Girl,Yes,2024-11-08,"2,700,000",1:33,"1,700,000",Umjolo: The Gone Girl,Umjolo: The Gone Girl,tt33812405,Umjolo: The Gone Girl,2024.0,movie,Umjolo: The Gone Girl,Umjolo: The Gone Girl,2024,92,"Comedy,Drama,Romance"
1626,Divorce // Rozwodnicy,Yes,2024-09-25,"2,600,000",1:33,"1,700,000",Divorce ,Divorce,tt33307315,Divorce,2024.0,movie,Divorce,Rozwodnicy,2024,91,"Comedy,Drama"
1627,Hellhole // Ostatnia wieczerza,Yes,2022-10-26,"2,600,000",1:31,"1,700,000",Hellhole ,Hellhole,tt19724142,Hellhole,2022.0,movie,Hellhole,Ostatnia wieczerza,2022,91,"Horror,Mystery"
1628,Jurassic Park III,No,,"2,600,000",1:32,"1,700,000",Jurassic Park III,Jurassic Park III,tt0163025,Jurassic Park III,1000.0,movie,Jurassic Park III,Jurassic Park III,2001,92,"Action,Adventure,Sci-Fi"
1629,My Big Fat Greek Wedding 3,No,,"2,600,000",1:32,"1,700,000",My Big Fat Greek Wedding 3,My Big Fat Greek Wedding 3,tt21103300,My Big Fat Greek Wedding 3,1000.0,movie,My Big Fat Greek Wedding 3,My Big Fat Greek Wedding 3,2023,92,"Comedy,Drama,Romance"
1630,Someone Great,Yes,2019-04-19,"2,600,000",1:32,"1,700,000",Someone Great,Someone Great,tt8075260,Someone Great,2019.0,movie,Someone Great,Someone Great,2019,92,"Comedy,Romance"
1631,The Scorpion King,No,,"2,600,000",1:31,"1,700,000",The Scorpion King,The Scorpion King,tt0277296,The Scorpion King,1000.0,movie,The Scorpion King,The Scorpion King,2002,92,"Action,Adventure,Fantasy"
1632,A Vampire in the Family // Meu Cunhado é Um Vampiro,No,2023-12-24,"2,500,000",1:30,"1,700,000",A Vampire in the Family ,A Vampire in the Family,tt23744022,A Vampire in the Family,2023.0,movie,A Vampire in the Family,Meu Cunhado é um Vampiro,2023,89,"Comedy,Fantasy"
1633,Shark Whisperer,Yes,2025-06-30,"2,500,000",1:30,"1,700,000",Shark Whisperer,Shark Whisperer,tt32307524,Shark Whisperer,2025.0,movie,Shark Whisperer,Shark Whisperer,2025,90,Documentary
1634,Storks,No,,"2,500,000",1:27,"1,700,000",Storks,Storks,tt4624424,Storks,1000.0,movie,Storks,Storks,2016,87,"Adventure,Animation,Comedy"
1635,¡Vaya vacaciones!,No,,"2,500,000",1:27,"1,700,000",¡Vaya vacaciones!,,,,,,,,,,
1636,Earwig and the Witch,No,,"2,400,000",1:24,"1,700,000",Earwig and the Witch,Earwig and the Witch,tt12441478,Earwig and the Witch,1000.0,tvMovie,Earwig and the Witch,Âya to majo,2020.0,82.0,"Adventure,Animation,Family"
1637,La leyenda de la Nahuala,No,,"2,400,000",1:24,"1,700,000",La leyenda de la Nahuala,La leyenda de la Nahuala,tt1003009,La leyenda de la Nahuala,1000.0,movie,Legend Quest: The Legend of La Nahuala,La Leyenda de la Nahuala,2007,82,"Animation,Family,Fantasy"
1639,Tainá: Uma Aventura na Amazônia,No,,"2,400,000",1:27,"1,700,000",Tainá: Uma Aventura na Amazônia,,,,,,,,,,
1640,The Wrath of Becky,No,,"2,400,000",1:24,"1,700,000",The Wrath of Becky,The Wrath of Becky,tt20916568,The Wrath of Becky,1000.0,movie,The Wrath of Becky,The Wrath of Becky,2023,84,"Action,Thriller"
1641,The Animal (2001),No,,"2,300,000",1:23,"1,700,000",The Animal (2001),The Animal,tt0255798,The Animal,2001.0,movie,The Animal,The Animal,2001,84,"Comedy,Sci-Fi"
1642,Crime Diaries: The Celebrity Stylist // Historia de un Crimen: Mauricio Leal,Yes,,"2,000,000",1:11,"1,700,000",Crime Diaries: The Celebrity Stylist ,Crime Diaries: The Celebrity Stylist,tt29692772,Crime Diaries: The Celebrity Stylist,1000.0,movie,Crime Diaries: The Celebrity Stylist,Crime Diaries: The Celebrity Stylist,2023,90,Crime
1643,Forgive Us Our Trespasses,Yes,2022-02-17,"400,000",0:14,"1,700,000",Forgive Us Our Trespasses,Forgive Us Our Trespasses,tt17162524,Forgive Us Our Trespasses,2022.0,short,Forgive Us Our Trespasses,Forgive Us Our Trespasses,2022.0,13.0,"Drama,Short"
1644,Kabhi Khushi Kabhie Gham // कभी खुशी कभी ग़म,No,,"5,600,000",3:29,"1,600,000",Kabhi Khushi Kabhie Gham ,Kabhi Khushi Kabhie Gham,tt0248126,Kabhi Khushi Kabhie Gham,1000.0,movie,Kabhi Khushi Kabhie Gham...,Kabhi Khushi Kabhie Gham...,2001,210,"Drama,Musical,Romance"
1645,Gangubai Kathiawadi // गंगूबाई काठियावाड़ी,Yes,,"4,200,000",2:33,"1,600,000",Gangubai Kathiawadi ,Gangubai Kathiawadi,tt10083340,Gangubai Kathiawadi,1000.0,movie,Gangubai Kathiawadi,Gangubai Kathiawadi,2022,152,"Biography,Crime,Drama"
1646,Boxer // Bokser,Yes,2024-09-11,"4,000,000",2:32,"1,600,000",Boxer ,Boxer,tt32244931,Boxer,2024.0,movie,Boxer,Bokser,2024,150,"Drama,Sport"
1647,Fantastic Beasts: The Secrets of Dumbledore,No,,"3,700,000",2:23,"1,600,000",Fantastic Beasts: The Secrets of Dumbledore,Fantastic Beasts: The Secrets of Dumbledore,tt4123432,Fantastic Beasts: The Secrets of Dumbledore,1000.0,movie,Fantastic Beasts: The Secrets of Dumbledore,Fantastic Beasts: The Secrets of Dumbledore,2022,142,"Adventure,Fantasy"
1648,Red Sparrow,No,,"3,700,000",2:20,"1,600,000",Red Sparrow,Red Sparrow,tt2873282,Red Sparrow,1000.0,movie,Red Sparrow,Red Sparrow,2018,140,"Action,Drama,Thriller"
1649,Manchester by the Sea,No,,"3,600,000",2:17,"1,600,000",Manchester by the Sea,Manchester by the Sea,tt4034228,Manchester by the Sea,1000.0,movie,Manchester by the Sea,Manchester by the Sea,2016,137,Drama
1650,From Churchyard to Countryhood // U Pana Boga w Królowym Moście,No,,"3,500,000",2:12,"1,600,000",From Churchyard to Countryhood ,From Churchyard to Countryhood,tt21601428,From Churchyard to Countryhood,1000.0,movie,U Pana Boga w Królowym Moscie,U Pana Boga w Królowym Moscie,2024,132,Comedy
1651,My Name Is Loh Kiwan // 로기완,Yes,2024-03-01,"3,500,000",2:13,"1,600,000",My Name Is Loh Kiwan ,My Name Is Loh Kiwan,tt26672512,My Name Is Loh Kiwan,2024.0,movie,My Name Is Loh Kiwan,Ro Gi Wan,2024,131,"Drama,Romance"
1652,Becoming Led Zeppelin,No,,"3,300,000",2:02,"1,600,000",Becoming Led Zeppelin,Becoming Led Zeppelin,tt10365912,Becoming Led Zeppelin,1000.0,movie,Becoming Led Zeppelin,Becoming Led Zeppelin,2025,122,"Documentary,Music"
1653,Dark Waters (2019),No,,"3,300,000",2:07,"1,600,000",Dark Waters (2019),Dark Waters,tt9071322,Dark Waters,2019.0,movie,Dark Waters,Dark Waters,2019,126,"Biography,Drama,History"
1654,King Arthur: Legend of the Sword,No,,"3,300,000",2:06,"1,600,000",King Arthur: Legend of the Sword,King Arthur: Legend of the Sword,tt1972591,King Arthur: Legend of the Sword,1000.0,movie,King Arthur: Legend of the Sword,King Arthur: Legend of the Sword,2017,126,"Action,Adventure,Drama"
1655,Snake Eyes: G.I. Joe Origins,No,,"3,300,000",2:02,"1,600,000",Snake Eyes: G.I. Joe Origins,Snake Eyes: G.I. Joe Origins,tt8404256,Snake Eyes: G.I. Joe Origins,1000.0,movie,Snake Eyes,Snake Eyes: G.I. Joe Origins,2021,121,"Action,Adventure,Crime"
1656,The Outsider,Yes,2018-03-09,"3,300,000",2:01,"1,600,000",The Outsider,The Outsider,tt2011311,The Outsider,2018.0,movie,The Outsider,The Outsider,2018,120,"Crime,Drama,Thriller"
1657,The Piano Lesson,Yes,2024-11-22,"3,300,000",2:07,"1,600,000",The Piano Lesson,The Piano Lesson,tt15507512,The Piano Lesson,2024.0,movie,The Piano Lesson,The Piano Lesson,2024,127,"Drama,Music"
1658,They Cloned Tyrone,Yes,2023-07-21,"3,300,000",2:04,"1,600,000",They Cloned Tyrone,They Cloned Tyrone,tt9873892,They Cloned Tyrone,2023.0,movie,They Cloned Tyrone,They Cloned Tyrone,2023,122,"Comedy,Mystery,Sci-Fi"
1659,Yaksha: Ruthless Operations // 야차,Yes,2022-04-08,"3,300,000",2:06,"1,600,000",Yaksha: Ruthless Operations ,Yaksha: Ruthless Operations,tt12663250,Yaksha: Ruthless Operations,2022.0,movie,Yaksha: Ruthless Operations,Yacha,2022,125,"Action,Crime,Thriller"
1660,90 Minutes in Heaven,No,,"3,200,000",2:02,"1,600,000",90 Minutes in Heaven,90 Minutes in Heaven,tt4337690,90 Minutes in Heaven,1000.0,movie,90 Minutes in Heaven,90 Minutes in Heaven,2015,121,Drama
1661,Life Is Beautiful // La vita è bella,No,,"3,200,000",1:59,"1,600,000",Life Is Beautiful ,Life Is Beautiful,tt0118799,Life Is Beautiful,1000.0,movie,Life Is Beautiful,La vita è bella,1997,116,"Comedy,Drama,Romance"
1662,Ordinary Angels,No,,"3,200,000",1:58,"1,600,000",Ordinary Angels,Ordinary Angels,tt4996328,Ordinary Angels,1000.0,movie,Ordinary Angels,Ordinary Angels,2024,118,"Biography,Drama"
1663,War Room (2015),No,,"3,200,000",2:00,"1,600,000",War Room (2015),War Room,tt3832914,War Room,2015.0,movie,War Room,War Room,2015,120,Drama
1664,Chef (2014),No,,"3,100,000",1:55,"1,600,000",Chef (2014),Chef,tt2883512,Chef,2014.0,movie,Chef,Chef,2014,114,"Adventure,Comedy,Drama"
1665,Same Kind of Different as Me,No,,"3,100,000",2:00,"1,600,000",Same Kind of Different as Me,Same Kind of Different as Me,tt1230168,Same Kind of Different as Me,1000.0,movie,Same Kind of Different as Me,Same Kind of Different as Me,2017,119,"Biography,Drama"
1666,Shirley,Yes,2024-03-22,"3,100,000",1:59,"1,600,000",Shirley,Shirley,tt14077516,Shirley,2024.0,movie,Shirley,Shirley,2024,117,"Biography,Drama,History"
1667,You Don't Mess with the Zohan,No,,"3,100,000",1:53,"1,600,000",You Don't Mess with the Zohan,You Don't Mess with the Zohan,tt0960144,You Don't Mess with the Zohan,1000.0,movie,You Don't Mess with the Zohan,You Don't Mess with the Zohan,2008,113,"Action,Comedy"
1668,Detective Conan the  Movie: Zero the Enforcer // 劇場版 名探偵コナン ゼロの執行人,No,,"3,000,000",1:50,"1,600,000",Detective Conan the  Movie: Zero the Enforcer ,Detective Conan the  Movie: Zero the Enforcer,tt7880466,Detective Conan the  Movie: Zero the Enforcer,1000.0,movie,Detective Conan: Zero the Enforcer,Meitantei Conan: Zero no Shikkônin,2018,115,"Action,Adventure,Animation"
1669,Elysium (2013),No,,"3,000,000",1:50,"1,600,000",Elysium (2013),Elysium,tt1535108,Elysium,2013.0,movie,Elysium,Elysium,2013,109,"Action,Drama,Sci-Fi"
1670,Harbin // 하얼빈,No,,"3,000,000",1:54,"1,600,000",Harbin ,Harbin,tt23630030,Harbin,1000.0,movie,Harbin,Haeolbin,2024,108,"Action,Biography,Crime"
